observed_at,district,pm25,temperature_c
2026-07-01 08:00,Jongno,25,22.5
2026-07-01 09:00,Mapo,31,24.0
2026-07-01 10:00,Gangnam,,23.0
2026-07-02 08:00,Songpa,19,21.5
2026-07-02 09:00,Yongsan,35,25.0
2026-07-02 10:00,Jongno,27,23.5
2026-07-03 08:00,Mapo,18,22.0
2026-07-03 09:00,Gangnam,44,26.0
2026-07-03 10:00,Songpa,29,24.5
2026-07-04 08:00,Yongsan,22,23.0
2026-07-04 09:00,Jongno,33,25.5
2026-07-04 10:00,Mapo,40,24.0
2026-07-05 08:00,Gangnam,26,22.5
2026-07-05 09:00,Songpa,30,23.0
2026-07-05 10:00,Yongsan,35,26.0
2026-07-06 08:00,Jongno,28,24.5
2026-07-06 09:00,Mapo,38,25.0
2026-07-06 10:00,Gangnam,21,22.0
2026-07-07 08:00,Songpa,36,24.0
2026-07-07 09:00,Yongsan,27,23.5
